gender,workex,specialisation,status,ssc_p_bin,hsc_p_bin,degree_p_bin,etest_p_bin,mba_p_bin,ssc_b_1,ssc_b_2,hsc_b_1,hsc_b_2,hsc_s_1,hsc_s_2,hsc_s_3,degree_t_1,degree_t_2,degree_t_3
1,0,0,1,7,1,1,6,6,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1,0,1,5,2,4,5,8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,1,4,1,4,0,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,0,0,0,0,5,4,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,1,6,1,4,6,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,1,0,4,1,2,4,8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1,0,1,3,2,4,5,9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,0,1,5,0,1,5,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,0,1,1,7,3,2,3,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,1,0,1,1,5,4,7,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,0,0,0,1,7,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0,1,0,2,1,2,6,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0,1,0,2,0,0,5,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,1,6,2,3,7,6,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0,1,7,3,3,2,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,1,1,2,1,2,0,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,0,3,1,1,1,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,0,1,5,0,5,7,6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0,1,1,4,1,2,2,3,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1,0,0,0,2,0,0,1,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,0,1,2,1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,0,0,0,1,1,2,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
1,0,0,1,2,2,1,3,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,1,3,1,1,7,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,1,1,1,1,1,2,4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,1,2,2,2,1,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,1,1,4,1,0,4,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,1,1,1,1,0,3,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,0,0,0,0,1,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,1,4,2,1,0,7,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,1,1,1,4,6,8,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,0,0,0,1,1,0,5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,1,5,3,5,4,7,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,0,1,1,3,3,4,0,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,1,0,0,1,0,4,1,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,1,3,1,5,5,3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,1,7,1,3,6,8,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0,1,1,5,0,3,0,7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
1,0,0,1,3,3,4,6,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1,0,0,1,1,1,1,0,0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1,1,0,1,3,1,2,7,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,1,3,2,4,0,9,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,1,0,1,1,1,1,2,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
